clip,status,n_frames_input,n_frames_cut,start_frame,stop_frame,cut_path
A6_kinect,ok,143,143,30,172,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A6_kinect.csv
A70_kinect,ok,88,88,19,106,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A70_kinect.csv
A71_kinect,ok,140,119,75,193,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A71_kinect.csv
A72_kinect,ok,165,165,40,204,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A72_kinect.csv
A74_kinect,ok,99,99,54,152,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A74_kinect.csv
A75_kinect,ok,98,98,2,99,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A75_kinect.csv
A78_kinect,ok,214,214,2,215,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A78_kinect.csv
A79_kinect,ok,255,252,3,254,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A79_kinect.csv
A7_kinect,ok,142,142,46,187,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A7_kinect.csv
A80_kinect,ok,245,245,2,246,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A80_kinect.csv
A81_kinect,ok,281,281,22,302,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A81_kinect.csv
A82_kinect,ok,237,237,0,236,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A82_kinect.csv
A83_kinect,too_short_3_frames,181,3,1,3,
A84_kinect,ok,211,211,1,211,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A84_kinect.csv
A85_kinect,ok,198,198,35,232,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A85_kinect.csv
A86_kinect,ok,258,258,4,261,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A86_kinect.csv
A87_kinect,ok,217,217,3,219,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A87_kinect.csv
A88_kinect,ok,258,258,1,258,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A88_kinect.csv
A89_kinect,ok,158,158,75,232,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A89_kinect.csv
A8_kinect,ok,144,144,51,194,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A8_kinect.csv
A90_kinect,ok,181,181,34,214,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A90_kinect.csv
A91_kinect,ok,167,167,13,179,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A91_kinect.csv
A92_kinect,ok,110,110,14,123,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A92_kinect.csv
A93_kinect,too_short_7_frames,132,7,130,136,
A94_kinect,ok,266,266,51,316,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A94_kinect.csv
A95_kinect,too_short_5_frames,145,5,175,179,
A96_kinect,too_short_1_frames,185,1,189,189,
A97_kinect,too_short_2_frames,315,2,36,37,
A98_kinect,ok,130,130,0,129,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A98_kinect.csv
A99_kinect,ok,152,152,20,171,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A99_kinect.csv
A9_kinect,ok,134,134,41,174,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A9_kinect.csv
