run,problem,architecture,optimizer,batch_size,avg_p_start,avg_r_start,avg_f1_start,avg_p_stop,avg_r_stop,avg_f1_stop,avg_epochs,test_f1_start,test_f1_stop
A_Kinect_Conv1D_adam_bs64,A_Kinect,Conv1D,adam,64,0.08334179064110797,0.4652422845971233,0.1398068656892186,0.221393167789354,0.5979205241418601,0.3194559085942878,38.0,0.1686746987951807,0.3717948717948718
A_Kinect_Dense_relu_adam_bs64,A_Kinect,Dense_relu,adam,64,0.07905048010754163,0.5494065074710236,0.1381393157449945,0.17835386693075253,0.7303802877083037,0.2866569460984511,22.333333333333332,0.16783216783216784,0.31313131313131315
A_Kinect_Dense_relu_rmsprop_bs64,A_Kinect,Dense_relu,rmsprop,64,0.08021121160074444,0.4869571288926127,0.13768383742114235,0.23507820136852398,0.640364620424441,0.3430855869134812,24.0,0.18028169014084508,0.37735849056603776
B_PoseNet_Dense_relu_adam_bs64,B_PoseNet,Dense_relu,adam,64,0.07851754959829602,0.553763440860215,0.13750060055219768,0.1786914412702033,0.7469971039263164,0.28702760587599746,26.666666666666668,0.183206106870229,0.3316062176165803
B_PoseNet_GRU_adam_bs32,B_PoseNet,GRU,adam,32,0.0819161149294605,0.42890657729367404,0.13722124677886358,0.16918432344002945,0.643189479181503,0.2647311261142537,43.333333333333336,0.1776061776061776,0.3657142857142857
B_PoseNet_Dense_relu_adam_bs32,B_PoseNet,Dense_relu,adam,32,0.07915622971140855,0.5194106968300517,0.13719004579143748,0.16432789157293293,0.7781655034895314,0.268926884601674,19.0,0.17073170731707318,0.3541666666666667
B_PoseNet_LSTM_rmsprop_bs64,B_PoseNet,LSTM,rmsprop,64,0.07996681608594818,0.4807010194106968,0.13642598254154956,0.24695753851080585,0.615249489626359,0.35188646984267424,21.666666666666668,0.1679790026246719,0.35714285714285715
A_Kinect_GRU_rmsprop_bs32,A_Kinect,GRU,rmsprop,32,0.0800106032904131,0.4635386119257087,0.13629799981945478,0.19782521518833374,0.6517352703793383,0.2998005024029518,19.333333333333332,0.17391304347826086,0.3582089552238806
B_PoseNet_Dense_relu_rmsprop_bs32,B_PoseNet,Dense_relu,rmsprop,32,0.07778024526933462,0.4202206395754782,0.13099429441767055,0.2523534753754803,0.6909034800360822,0.3666954845572626,14.333333333333334,0.1791907514450867,0.46551724137931033
B_PoseNet_Conv1D_adam_bs32,B_PoseNet,Conv1D,adam,32,0.0755215215750653,0.47834101382488475,0.13007284073501865,0.16037524373139678,0.6121635094715853,0.2531523630200699,29.0,0.16470588235294117,0.32941176470588235
B_PoseNet_LSTM_rmsprop_bs32,B_PoseNet,LSTM,rmsprop,32,0.07707858001333304,0.4224270353302611,0.12976108178191972,0.21959816339688387,0.6318425675354887,0.3207602831308966,21.0,0.1568627450980392,0.37037037037037035
B_PoseNet_GRU_adam_bs64,B_PoseNet,GRU,adam,64,0.07441702039206366,0.4998882837592515,0.12944274666817326,0.17126220839955622,0.6040450078336419,0.2664138564519331,34.333333333333336,0.13870246085011187,0.3741935483870968
B_PoseNet_GRU_rmsprop_bs32,B_PoseNet,GRU,rmsprop,32,0.07590038772670653,0.4224130708001675,0.128233814742803,0.1922915892316678,0.6742629255091868,0.2984181755301267,18.0,0.14736842105263157,0.3670886075949367
B_PoseNet_LSTM_adam_bs64,B_PoseNet,LSTM,adam,64,0.07923451214832872,0.3489177489177489,0.12744680597183305,0.2022797957040138,0.7500593457722072,0.31196381699864695,30.0,0.2196078431372549,0.2097902097902098
A_Kinect_GRU_adam_bs32,A_Kinect,GRU,adam,32,0.0725897072908204,0.49346459991621283,0.12648203957366233,0.18500547057145889,0.6402696671889094,0.28161760742854974,32.0,0.1746031746031746,0.3790849673202614
A_Kinect_Conv1D_adam_bs32,A_Kinect,Conv1D,adam,32,0.0626231782898013,0.4675045384722804,0.11003690368603869,0.1712041159158666,0.6682096567440535,0.2721860896347479,17.666666666666668,0.15472779369627507,0.33519553072625696
A_Kinect_Conv1D_rmsprop_bs64,A_Kinect,Conv1D,rmsprop,64,0.054232554704163834,0.569082530372853,0.09900449806996715,0.1829244317458428,0.5536248397664151,0.27194957388261126,18.0,0.11128284389489954,0.3492063492063492
B_PoseNet_Conv1D_rmsprop_bs64,B_PoseNet,Conv1D,rmsprop,64,0.053366244914530236,0.5105571847507332,0.09658593131498938,0.20316568433597562,0.5675592270806628,0.2930342383107089,15.666666666666666,0.1180327868852459,0.3937007874015748
B_PoseNet_Conv1D_rmsprop_bs32,B_PoseNet,Conv1D,rmsprop,32,0.04896849466433741,0.5409858958246055,0.08966357290693794,0.28851191229839485,0.5137207425343019,0.3371781654867547,12.333333333333334,0.13247172859450726,0.48
A_Kinect_Conv1D_rmsprop_bs32,A_Kinect,Conv1D,rmsprop,32,0.04012090684599789,0.31837732160312804,0.06713720919603272,0.1521071605085146,0.7273417841712956,0.24560473124033985,11.333333333333334,0.07661822985468957,0.3262411347517731
